dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
563,3x5_Dynamic_Double_AR_Deep,0.99905859,0.82782363,0.06374603,0.10843034,0.42957369,0.98049100,0.80812698,0.07517460,0.11669841,0.38180408
850,3x5_Dynamic_Double_AR_Deep,0.99826089,0.75256790,0.01950617,0.22792593,0.57873301,0.92328828,0.63866667,0.08533333,0.27600000,0.24838495
863,3x5_Dynamic_Double_AR_Deep,0.97410285,0.32936624,0.26166830,0.40896546,0.26060406,0.92691200,0.30175888,0.22957290,0.46866822,0.21332467
887,3x5_Dynamic_Double_AR_Deep,0.98717540,0.74539069,0.01570558,0.23890373,0.66494945,0.89285775,0.63818533,0.08937553,0.27243914,0.17710460
891,3x5_Dynamic_Double_AR_Deep,0.96429194,0.63602220,0.07855575,0.28542205,0.38623081,0.92940282,0.59519000,0.09649243,0.30831757,0.23047557
94,3x5_Dynamic_Double_AR_Deep,0.99847975,0.68666706,0.14476069,0.16857225,0.26921159,0.97361336,0.63351533,0.16613817,0.20034651,0.21807875
96,3x5_Dynamic_Double_AR_Deep,0.99632329,0.58735685,0.01964592,0.39299723,0.35284599,0.93665955,0.53270655,0.05911681,0.40817664,0.29341895
151,3x5_Dynamic_Double_GB_Deep,0.99823599,0.17972750,0.40147969,0.41879281,0.02737009,0.85216078,0.22690476,0.37652381,0.39657143,0.06514710
17,3x5_Dynamic_Double_GB_Deep,0.99991369,0.78176101,0.12767041,0.09056858,0.18448905,0.96708976,0.74057644,0.15964286,0.09978070,0.25197820
174,3x5_Dynamic_Double_GB_Deep,0.99945252,0.43988506,0.36067078,0.19944416,0.02630330,0.93499752,0.44878947,0.33784211,0.21336842,0.17287390
176,3x5_Dynamic_Double_GB_Deep,0.87714281,0.69497502,0.05692550,0.24809948,0.26074174,0.84489457,0.68795315,0.05559279,0.25645405,0.16552678
